aquifer_idx,Study_area,n_cells,tau_true_cm_yr,tau_gw_cm_yr,tau_stipulated_cm_yr,aux_era5_cm_yr,aux_gldas_cm_yr
0,Central Parana Basin and Torres Syncline (Guarani Aquifer System),181,0.0027605818301656847,0.27168004841166304,0.3085,-0.26891946658149735,-0.26891946655197063
1,Northern Guarani Aquifer (Guarani Aquifer System),141,-0.4921621319260909,-0.10234483929443745,-0.1315,-0.38981729263165343,-0.3898172924432263
2,Southwestern Chaco-Lower Parana Basin (Guarani Aquifer System),122,0.04274543922694872,0.2891553348747332,0.3266,-0.24640989564778448,-0.24640989588206352
3,Amazonas Basin and Alter de Chao Aquifer System (Amazon Aquifer System),101,-1.142448979059094,-1.0323077771439015,-1.3532,-0.11014120191519239,-0.11014120152494022
4,Poolowanna Trough and Western Eromanga Basin (Great Artesian Basin),105,0.027406231957238566,0.1007715718334347,0.1957,-0.07336533987619613,-0.07336533995103131
5,Eastern Eromanga Basin (Great Artesian Basin),106,-0.6099126094991038,-0.6489425215375927,-0.8111,0.039029912038488934,0.03902991201936417
6,Northern Eromanga Basin (Great Artesian Basin),99,2.0846584083176354,2.112775942453666,2.6775,-0.028117534136030464,-0.028117534223026944
7,Northern High Plains (High Plains),111,0.14341314937049213,0.2358892862356192,0.2914,-0.09247613686512707,-0.09247613696575843
8,Williston Basin (Northern Great Plains),116,0.5127382872763644,0.6049230385106504,0.7239,-0.09218475123428604,-0.0921847512425097
9,Central Eromanga Depocenter (Great Artesian Basin),78,-1.4125133982410618,-1.459338477146238,-1.9035,0.04682507890517629,0.04682507946940702
10,Western Parecis Basin (Parecis Basin),71,0.4754816118828437,0.8653632479563641,1.141,-0.3898816360735204,-0.3898816361761303
11,Upper Gangetic Plain (Indo-Gangetic Plain),73,1.368945812594853,1.3455177512614882,1.6989,0.023428061333364836,0.023428061777462574
12,Stampriet Kalahari Karoo Aquifer System,73,-0.2689188018075246,0.06540666144389237,0.07880000000000001,-0.334325463251417,-0.33432546296466037
13,Northcentral Mega Aquifer System (Mega Aquifer System),65,-0.17542846237154375,-0.12876676358301822,-0.14730000000000001,-0.046661698788525524,-0.04666169881095583
14,Ozark Plateaus Aquifer System,70,-1.76466602806426,-1.7291684334959607,-2.0149,-0.03549759456829937,-0.03549759467416649
15,Western Karoo Basin (Main Karoo Basin),52,2.013549663194894,2.2039728520359785,3.0,-0.19042318884108456,-0.19042318886101586
16,Middle Gangetic Plain (Indo-Gangetic Plain),53,0.05570426715109487,0.1271577170443635,0.05,-0.07145344989326863,-0.07145344973417592
17,Northern Mega Aquifer System (Mega Aquifer System),54,-0.12307744087772324,-0.1137163703293998,-0.13920000000000002,-0.009361070548323441,-0.009361070570881366
18,Canning Basin,47,-0.4843363932010052,-0.40947757029744986,-0.5448000000000001,-0.07485882290355533,-0.07485882312894868
19,Central Karoo Basin (Main Karoo Basin),49,-0.32470105511228214,-0.06233432509437599,-0.1173,-0.26236673001790617,-0.2623667297411135
20,Southern Carpentaria Basin (Great Artesian Basin),44,0.13033663440802964,0.20094851463511715,0.17470000000000002,-0.0706118802270875,-0.07061188054818741
21,Eastern Parecis Basin (Parecis Basin),38,-0.9972560555055814,-0.7203959652511909,-1.0183,-0.2768600902543905,-0.27686009001491824
22,Eastern Poti and Piaui and Cabecas and Serra Grande Aquifers (Parnaiba Basin),41,0.24284826191467498,0.3413996156661831,0.45930000000000004,-0.09855135375150811,-0.09855135422697468
23,Wiso Basin (Daly-Wiso-Georgina Basins),40,-0.8256211700537569,-0.6337217545252571,-0.8586,-0.19189941552849976,-0.1918994157611145
